timestamp,ca,ciudad,pm10,pm10_level,o3,o3_level,no2,no2_level
2020-04-01,Andalucia,Sevilla,6.0,Good,36.0,Good,4.0,Good
2020-04-02,Andalucia,Sevilla,8.0,Good,30.0,Good,4.0,Good
2020-04-03,Andalucia,Sevilla,8.0,Good,34.0,Good,5.0,Good
2020-04-04,Andalucia,Sevilla,11.0,Good,33.0,Good,2.0,Good
2020-04-05,Andalucia,Sevilla,8.0,Good,37.0,Good,1.0,Good
2020-04-06,Andalucia,Sevilla,12.0,Good,27.0,Good,3.0,Good
2020-04-07,Andalucia,Sevilla,14.0,Good,34.0,Good,5.0,Good
2020-04-08,Andalucia,Sevilla,13.0,Good,38.0,Good,3.0,Good
2020-04-09,Andalucia,Sevilla,15.0,Good,,,,
2020-04-10,Andalucia,Sevilla,,,,,,
2020-04-11,Andalucia,Sevilla,,,,,,
2020-04-12,Andalucia,Sevilla,,,,,,
2020-04-13,Andalucia,Sevilla,,,,,,
2020-04-14,Andalucia,Sevilla,,,,,,
2020-04-15,Andalucia,Sevilla,,,,,,
2020-04-16,Andalucia,Sevilla,,,,,,
2020-04-17,Andalucia,Sevilla,,,,,,
2020-04-18,Andalucia,Sevilla,,,,,,
2020-04-19,Andalucia,Sevilla,,,,,,
2020-04-20,Andalucia,Sevilla,,,,,,
2020-04-21,Andalucia,Sevilla,,,,,,
2020-04-22,Andalucia,Sevilla,,,,,,
2020-04-23,Andalucia,Sevilla,,,,,,
2020-04-24,Andalucia,Sevilla,,,,,,
2020-04-25,Andalucia,Sevilla,,,,,,
2020-04-26,Andalucia,Sevilla,,,,,,
2020-04-27,Andalucia,Sevilla,,,,,,
2020-04-28,Andalucia,Sevilla,,,,,,
2020-04-29,Andalucia,Sevilla,,,,,,
2020-04-30,Andalucia,Sevilla,,,,,,
2020-03-01,Andalucia,Sevilla,28.0,Good,31.0,Good,4.0,Good
2020-03-02,Andalucia,Sevilla,18.0,Good,33.0,Good,2.0,Good
2020-03-03,Andalucia,Sevilla,,,31.0,Good,8.0,Good
2020-03-04,Andalucia,Sevilla,22.0,Good,25.0,Good,11.0,Good
2020-03-05,Andalucia,Sevilla,20.0,Good,31.0,Good,11.0,Good
2020-03-06,Andalucia,Sevilla,15.0,Good,32.0,Good,5.0,Good
2020-03-07,Andalucia,Sevilla,16.0,Good,33.0,Good,9.0,Good
2020-03-08,Andalucia,Sevilla,13.0,Good,34.0,Good,8.0,Good
2020-03-09,Andalucia,Sevilla,12.0,Good,30.0,Good,10.0,Good
2020-03-10,Andalucia,Sevilla,14.0,Good,32.0,Good,15.0,Good
2020-03-11,Andalucia,Sevilla,18.0,Good,29.0,Good,14.0,Good
2020-03-12,Andalucia,Sevilla,25.0,Good,35.0,Good,12.0,Good
2020-03-13,Andalucia,Sevilla,25.0,Good,36.0,Good,5.0,Good
2020-03-14,Andalucia,Sevilla,26.0,Good,32.0,Good,7.0,Good
2020-03-15,Andalucia,Sevilla,22.0,Good,37.0,Good,4.0,Good
2020-03-16,Andalucia,Sevilla,21.0,Good,33.0,Good,2.0,Good
2020-03-17,Andalucia,Sevilla,4.0,Good,33.0,Good,4.0,Good
2020-03-18,Andalucia,Sevilla,9.0,Good,33.0,Good,4.0,Good
2020-03-19,Andalucia,Sevilla,46.0,Good,31.0,Good,4.0,Good
2020-03-20,Andalucia,Sevilla,49.0,Good,29.0,Good,5.0,Good
2020-03-21,Andalucia,Sevilla,43.0,Good,32.0,Good,4.0,Good
2020-03-22,Andalucia,Sevilla,8.0,Good,30.0,Good,3.0,Good
