comunidad,casos,casos_notificados,datetime
Andalucía,8581,,2020-04-06
Aragón,3347,,2020-04-06
Asturias,1646,,2020-04-06
Baleares,1320,,2020-04-06
Canarias,1649,,2020-04-06
Cantabria,1483,,2020-04-06
Castilla La Mancha,10602,,2020-04-06
Castilla y León,9116,,2020-04-06
Cataluña,26824,,2020-04-06
Comunitat Valenciana,7334,,2020-04-06
Extremadura,2068,,2020-04-06
Galicia,6151,,2020-04-06
Madrid,38723,,2020-04-06
Murcia,1259,,2020-04-06
Navarra,3231,,2020-04-06
País Vasco,8810,,2020-04-06
La Rioja,2719,,2020-04-06
Ceuta,83,,2020-04-06
Melilla,86,,2020-04-06
Andalucía,7374,6807,2020-04-03
Aragón,2889,554,2020-04-03
Asturias,1433,841,2020-04-03
Baleares,1257,815,2020-04-03
Canarias,1490,1512,2020-04-03
Cantabria,1321,1261,2020-04-03
Castilla La Mancha,8523,3388,2020-04-03
Castilla y León,7875,7006,2020-04-03
Cataluña,23460,1928,2020-04-03
Comunitat Valenciana,6624,6354,2020-04-03
Extremadura,1893,1909,2020-04-03
Galicia,5219,292,2020-04-03
Madrid,34188,21481,2020-04-03
Murcia,1145,1097,2020-04-03
Navarra,2836,3817,2020-04-03
País Vasco,7827,2198,2020-04-03
La Rioja,2224,1654,2020-04-03
Ceuta,62,32,2020-04-03
Melilla,70,56,2020-04-03
Andalucía,6392,4277,2020-04-01
Aragón,2491,554,2020-04-01
Asturias,1322,841,2020-04-01
Baleares,1131,631,2020-04-01
Canarias,1380,1393,2020-04-01
Cantabria,1213,1204,2020-04-01
Castilla La Mancha,7047,3494,2020-04-01
Castilla y León,6847,3266,2020-04-01
Cataluña,19991,1928,2020-04-01
Comunitat Valenciana,5922,4907,2020-04-01
Extremadura,1679,1699,2020-04-01
Galicia,4432,292,2020-04-01
Madrid,29840,21481,2020-04-01
Murcia,1041,996,2020-04-01
Navarra,2497,1496,2020-04-01
País Vasco,6838,2203,2020-04-01
La Rioja,1960,1395,2020-04-01
Ceuta,51,29,2020-04-01
Melilla,62,43,2020-04-01
Andalucía,5405,4277,2020-03-30
Aragón,2078,554,2020-03-30
Asturias,1158,841,2020-03-30
Baleares,1000,416,2020-03-30
Canarias,1204,1182,2020-03-30
Cantabria,1100,1103,2020-03-30
Castilla La Mancha,5858,0,2020-03-30
Castilla y León,5801,3266,2020-03-30
Cataluña,16157,1928,2020-03-30
Comunitat Valenciana,5110,4423,2020-03-30
Extremadura,1560,1571,2020-03-30
Galicia,3723,289,2020-03-30
Madrid,24090,21481,2020-03-30
Murcia,939,777,2020-03-30
Navarra,2146,1496,2020-03-30
País Vasco,6057,2203,2020-03-30
La Rioja,1733,1053,2020-03-30
Ceuta,25,29,2020-03-30
Melilla,51,32,2020-03-30
Andalucía,3793,3145,2020-03-27
Aragón,1338,482,2020-03-27
Asturias,900,841,2020-03-27
Baleares,755,325,2020-03-27
Canarias,878,278,2020-03-27
Cantabria,810,737,2020-03-27
Castilla La Mancha,3934,0,2020-03-27
Castilla y León,4132,3266,2020-03-27
Cataluña,12940,1928,2020-03-27
Comunitat Valenciana,3532,2453,2020-03-27
Extremadura,1231,1199,2020-03-27
Galicia,2322,132,2020-03-27
Madrid,19243,8926,2020-03-27
Murcia,714,575,2020-03-27
Navarra,1641,1058,2020-03-27
País Vasco,4601,2203,2020-03-27
La Rioja,1236,875,2020-03-27
Ceuta,17,17,2020-03-27
Melilla,42,28,2020-03-27
Andalucía,3406,3145,2020-03-26
Aragón,1116,482,2020-03-26
Asturias,841,645,2020-03-26
Baleares,660,267,2020-03-26
Canarias,784,278,2020-03-26
Cantabria,671,304,2020-03-26
Castilla La Mancha,3383,0,2020-03-26
Castilla y León,3488,3266,2020-03-26
Cataluña,11592,1928,2020-03-26
Comunitat Valenciana,3200,2008,2020-03-26
Extremadura,969,943,2020-03-26
Galicia,1915,132,2020-03-26
Madrid,17166,8926,2020-03-26
Murcia,596,498,2020-03-26
Navarra,1411,1058,2020-03-26
País Vasco,3946,428,2020-03-26
