timestamp,pm10
2020-03-01,34
2020-03-02,35
2020-03-03,30
2020-03-04,31
2020-03-05,32
2020-03-06,34
2020-03-07,35
2020-03-08,38
2020-03-09,32
2020-03-10,29
2020-03-11,40
2020-03-12,45
2020-03-13,37
2020-03-14,32
2020-03-15,36
2020-03-16,35
2020-03-17,34
2020-03-18,38
2020-03-19,39
2020-03-20,43
2020-03-21,43
2020-03-22,36
2020-03-23,33
2020-03-24,36
2020-03-25,34
2020-03-26,37
2020-03-27,37
2020-03-28,37
2020-03-29,35
2020-03-30,-
2020-03-31,-
2020-02-01,26
2020-02-02,26
2020-02-03,23
2020-02-04,24
2020-02-05,31
2020-02-06,34
2020-02-07,37
2020-02-08,36
2020-02-09,34
2020-02-10,27
2020-02-11,28
2020-02-12,27
2020-02-13,29
2020-02-14,22
2020-02-15,33
2020-02-16,31
2020-02-17,32
2020-02-18,29
2020-02-19,27
2020-02-20,33
2020-02-21,36
2020-02-22,38
2020-02-23,38
2020-02-24,39
2020-02-25,34
2020-02-26,34
2020-02-27,32
2020-02-28,30
2020-02-29,32
2020-01-01,22
2020-01-02,25
2020-01-03,27
2020-01-04,30
2020-01-05,29
2020-01-06,30
2020-01-07,31
2020-01-08,32
2020-01-09,32
2020-01-10,32
2020-01-11,26
2020-01-12,29
2020-01-13,31
2020-01-14,34
2020-01-15,34
2020-01-16,33
2020-01-17,33
2020-01-18,31
2020-01-19,33
2020-01-20,33
2020-01-21,29
2020-01-22,28
2020-01-23,31
2020-01-24,33
2020-01-25,27
2020-01-26,34
2020-01-27,27
2020-01-28,26
2020-01-29,26
2020-01-30,24
2020-01-31,27
2019-12-01,29
2019-12-02,32
2019-12-03,28
2019-12-04,24
2019-12-05,28
2019-12-06,29
2019-12-07,30
2019-12-08,26
2019-12-09,24
2019-12-10,24
2019-12-11,27
2019-12-12,25
2019-12-13,25
2019-12-14,28
2019-12-15,28
2019-12-16,29
2019-12-17,29
2019-12-18,23
2019-12-19,26
2019-12-20,23
2019-12-21,29
2019-12-22,28
2019-12-23,34
2019-12-24,30
2019-12-25,25
2019-12-26,25
2019-12-27,22
2019-12-28,25
2019-12-29,24
2019-12-30,22
2019-12-31,-
2019-11-01,32
2019-11-02,30
2019-11-03,29
2019-11-04,31
2019-11-05,31
2019-11-06,31
2019-11-07,24
2019-11-08,25
2019-11-09,27
2019-11-10,27
2019-11-11,27
2019-11-12,26
2019-11-13,26
2019-11-14,27
2019-11-15,27
2019-11-16,27
2019-11-17,23
2019-11-18,26
2019-11-19,22
2019-11-20,25
2019-11-21,30
2019-11-22,35
2019-11-23,28
2019-11-24,31
2019-11-25,28
2019-11-26,26
2019-11-27,28
2019-11-28,29
2019-11-29,29
2019-11-30,27
2019-10-01,44
2019-10-02,32
2019-10-03,32
2019-10-04,40
2019-10-05,34
2019-10-06,28
2019-10-07,28
2019-10-08,36
2019-10-09,36
2019-10-10,33
2019-10-11,26
2019-10-12,29
2019-10-13,30
2019-10-14,33
2019-10-15,36
2019-10-16,31
2019-10-17,36
2019-10-18,40
2019-10-19,33
2019-10-20,38
2019-10-21,34
2019-10-22,28
2019-10-23,29
2019-10-24,31
2019-10-25,29
2019-10-26,28
2019-10-27,36
2019-10-28,39
2019-10-29,39
2019-10-30,31
2019-10-31,32
2019-09-01,42
2019-09-02,36
2019-09-03,37
2019-09-04,49
2019-09-05,39
2019-09-06,35
2019-09-07,40
2019-09-08,37
2019-09-09,34
2019-09-10,32
2019-09-11,39
2019-09-12,47
2019-09-13,52
2019-09-14,57
2019-09-15,48
2019-09-16,45
2019-09-17,36
2019-09-18,52
2019-09-19,43
2019-09-20,47
2019-09-21,37
2019-09-22,32
2019-09-23,30
2019-09-24,40
2019-09-25,34
2019-09-26,37
2019-09-27,36
2019-09-28,34
2019-09-29,43
2019-09-30,35
2019-08-01,45
2019-08-02,57
2019-08-03,53
2019-08-04,54
2019-08-05,54
2019-08-06,40
2019-08-07,36
2019-08-08,38
2019-08-09,41
2019-08-10,37
2019-08-11,39
2019-08-12,41
2019-08-13,40
2019-08-14,39
2019-08-15,36
2019-08-16,32
2019-08-17,35
2019-08-18,34
2019-08-19,30
2019-08-20,38
2019-08-21,42
2019-08-22,47
2019-08-23,47
2019-08-24,53
2019-08-25,48
2019-08-26,44
2019-08-27,37
2019-08-28,44
2019-08-29,47
2019-08-30,49
2019-08-31,54
2019-07-01,75
2019-07-02,52
2019-07-03,47
2019-07-04,48
2019-07-05,54
2019-07-06,56
2019-07-07,44
2019-07-08,48
2019-07-09,45
2019-07-10,53
2019-07-11,57
2019-07-12,49
2019-07-13,49
2019-07-14,42
2019-07-15,44
2019-07-16,48
2019-07-17,48
2019-07-18,51
2019-07-19,43
2019-07-20,45
2019-07-21,42
2019-07-22,43
2019-07-23,46
2019-07-24,42
