timestamp,pm10
2020-03-01,29
2020-03-02,46
2020-03-03,14
2020-03-04,8
2020-03-05,10
2020-03-06,14
2020-03-07,9
2020-03-08,5
2020-03-09,9
2020-03-10,10
2020-03-11,13
2020-03-12,19
2020-03-13,21
2020-03-14,17
2020-03-15,18
2020-03-16,13
2020-03-17,10
2020-03-18,12
2020-03-19,14
2020-03-20,14
2020-03-21,13
2020-03-22,13
2020-03-23,18
2020-03-24,16
2020-03-25,18
2020-03-26,13
2020-03-27,9
2020-03-28,10
2020-03-29,10
2020-03-30,-
2020-03-31,-
2020-02-01,8
2020-02-02,8
2020-02-03,9
2020-02-04,13
2020-02-05,31
2020-02-06,18
2020-02-07,12
2020-02-08,12
2020-02-09,13
2020-02-10,18
2020-02-11,14
2020-02-12,10
2020-02-13,10
2020-02-14,10
2020-02-15,15
2020-02-16,21
2020-02-17,-
2020-02-18,-
2020-02-19,12
2020-02-20,10
2020-02-21,12
2020-02-22,16
2020-02-23,19
2020-02-24,19
2020-02-25,18
2020-02-26,22
2020-02-27,17
2020-02-28,15
2020-02-29,16
2020-01-01,-
2020-01-02,12
2020-01-03,12
2020-01-04,10
2020-01-05,10
2020-01-06,8
2020-01-07,11
2020-01-08,12
2020-01-09,11
2020-01-10,12
2020-01-11,9
2020-01-12,6
2020-01-13,7
2020-01-14,8
2020-01-15,7
2020-01-16,9
2020-01-17,13
2020-01-18,12
2020-01-19,9
2020-01-20,8
2020-01-21,10
2020-01-22,7
2020-01-23,10
2020-01-24,13
2020-01-25,69
2020-01-26,64
2020-01-27,40
2020-01-28,19
2020-01-29,10
2020-01-30,8
2020-01-31,10
2019-12-01,9
2019-12-02,9
2019-12-03,10
2019-12-04,12
2019-12-05,8
2019-12-06,5
2019-12-07,9
2019-12-08,10
2019-12-09,9
2019-12-10,9
2019-12-11,8
2019-12-12,9
2019-12-13,8
2019-12-14,5
2019-12-15,8
2019-12-16,8
2019-12-17,8
2019-12-18,27
2019-12-19,80
2019-12-20,49
2019-12-21,18
2019-12-22,7
2019-12-23,9
2019-12-24,8
2019-12-25,9
2019-12-26,8
2019-12-27,7
2019-12-28,9
2019-12-29,11
2019-12-30,12
2019-12-31,-
2019-11-01,15
2019-11-02,12
2019-11-03,9
2019-11-04,8
2019-11-05,10
2019-11-06,8
2019-11-07,8
2019-11-08,9
2019-11-09,9
2019-11-10,8
2019-11-11,-
2019-11-12,6
2019-11-13,8
2019-11-14,8
2019-11-15,6
2019-11-16,4
2019-11-17,7
2019-11-18,6
2019-11-19,8
2019-11-20,9
2019-11-21,8
2019-11-22,6
2019-11-23,6
2019-11-24,4
2019-11-25,5
2019-11-26,7
2019-11-27,8
2019-11-28,8
2019-11-29,9
2019-11-30,9
2019-10-01,20
2019-10-02,-
2019-10-03,18
2019-10-04,13
2019-10-05,12
2019-10-06,15
2019-10-07,18
2019-10-08,15
2019-10-09,21
2019-10-10,19
2019-10-11,13
2019-10-12,16
2019-10-13,14
2019-10-14,13
2019-10-15,15
2019-10-16,16
2019-10-17,6
2019-10-18,12
2019-10-19,15
2019-10-20,14
2019-10-21,16
2019-10-22,10
2019-10-23,9
2019-10-24,7
2019-10-25,6
2019-10-26,8
2019-10-27,10
2019-10-28,14
2019-10-29,14
2019-10-30,15
2019-10-31,17
2019-09-01,19
2019-09-02,17
2019-09-03,15
2019-09-04,12
2019-09-05,18
2019-09-06,19
2019-09-07,19
2019-09-08,15
2019-09-09,14
2019-09-10,11
2019-09-11,11
2019-09-12,-
2019-09-13,8
2019-09-14,14
2019-09-15,14
2019-09-16,16
2019-09-17,18
2019-09-18,21
2019-09-19,29
2019-09-20,24
2019-09-21,18
2019-09-22,18
2019-09-23,15
2019-09-24,-
2019-09-25,14
2019-09-26,18
2019-09-27,14
2019-09-28,17
2019-09-29,17
2019-09-30,19
2019-08-01,19
2019-08-02,18
2019-08-03,17
2019-08-04,15
2019-08-05,15
2019-08-06,18
2019-08-07,20
2019-08-08,26
2019-08-09,28
2019-08-10,26
2019-08-11,22
2019-08-12,20
2019-08-13,15
2019-08-14,10
2019-08-15,15
2019-08-16,19
2019-08-17,15
2019-08-18,15
2019-08-19,15
2019-08-20,16
2019-08-21,11
2019-08-22,14
2019-08-23,18
2019-08-24,14
2019-08-25,18
2019-08-26,18
2019-08-27,18
2019-08-28,19
2019-08-29,16
2019-08-30,18
2019-08-31,17
2019-07-01,37
2019-07-02,34
2019-07-03,28
2019-07-04,24
2019-07-05,27
2019-07-06,28
2019-07-07,34
2019-07-08,42
2019-07-09,32
2019-07-10,24
2019-07-11,19
2019-07-12,23
2019-07-13,24
2019-07-14,17
2019-07-15,14
2019-07-16,11
2019-07-17,17
2019-07-18,16
2019-07-19,14
2019-07-20,16
2019-07-21,15
2019-07-22,17
2019-07-23,20
2019-07-24,23
2019-07-25,24
2019-07-26,21
2019-07-27,21
2019-07-28,20
2019-07-29,9
2019-07-30,11
2019-07-31,18
2019-06-01,15
2019-06-02,14
2019-06-03,12
2019-06-04,12
2019-06-05,12
2019-06-06,13
2019-06-07,18
2019-06-08,18
2019-06-09,19
2019-06-10,13
2019-06-11,22
2019-06-12,17
2019-06-13,6
2019-06-14,9
2019-06-15,16
2019-06-16,27
2019-06-17,20
2019-06-18,17
2019-06-19,17
2019-06-20,18
2019-06-21,22
2019-06-22,15
2019-06-23,12
2019-06-24,16
2019-06-25,20
2019-06-26,19
2019-06-27,20
2019-06-28,18
2019-06-29,30
2019-06-30,40
2019-05-01,-
2019-05-02,-
2019-05-03,-
2019-05-04,-
2019-05-05,-
2019-05-06,-
2019-05-07,-
2019-05-08,-
2019-05-09,19
2019-05-10,16
2019-05-11,17
2019-05-12,18
2019-05-13,14
2019-05-14,14
2019-05-15,17
2019-05-16,19
2019-05-17,15
2019-05-18,11
2019-05-19,4
2019-05-20,5
2019-05-21,4
2019-05-22,9
2019-05-23,16
2019-05-24,15
2019-05-25,12
2019-05-26,8
2019-05-27,8
2019-05-28,9
2019-05-29,11
2019-05-30,14
2019-05-31,14
